MATHEMATICAL PATTERN COLLECTION - MARKET DATA
Analyst: fedfraud
Generated: 2025-07-04 12:36:10 UTC
================================================================================


================================================================================
LIQUIDATIONS
================================================================================

COIN|EXCHANGE|CONTRACT|SIDE|TIME|AMOUNT|PRICE|TURNOVER
BTC|SWAP|15m|2025-07-04_01:00:00|-46586701.71|-60953916.56|-142664883.77|995819446.39
BTC|SWAP|15m|2025-07-04_01:15:00|10772973.49|-64011173.71|-176417455.92|992479169.59
BTC|SWAP|15m|2025-07-04_01:30:00|13548257.4|50159517.96|-93455195.38|1004586309.15
BTC|SWAP|15m|2025-07-04_01:45:00|6068022.64|13572606.2|-91113711.24|1006782703.58
BTC|SWAP|15m|2025-07-04_02:00:00|1769016.76|62226992.73|-92814583.7|1012765575.17
BTC|SWAP|15m|2025-07-04_02:15:00|-1389549.53|72095871.02|-68060334.85|1070354002.15
BTC|SWAP|15m|2025-07-04_02:30:00|6621065.08|-34314955.04|-92731952.98|1159945783.18
BTC|SWAP|15m|2025-07-04_02:45:00|-41277895.34|-220613259.2|-286100300.2|975617320.59
BTC|SWAP|15m|2025-07-04_03:00:00|24782773.63|-185752727.5|-238710362.75|968598139.65
BTC|SWAP|15m|2025-07-04_03:15:00|28456282.17|-171242746.9|-196760478.06|1006842559.59
BTC|SWAP|15m|2025-07-04_03:30:00|18313838.06|-68886657.57|-88533948.51|1048623764.97
BTC|SWAP|15m|2025-07-04_03:45:00|6999097.35|106171831.11|-107661338.47|975196261.76
BTC|SWAP|15m|2025-07-04_04:00:00|264663.35|59097582.09|-125382069.24|995276295.95
BTC|SWAP|15m|2025-07-04_04:15:00|1174398.09|46351945.66|-116806103.93|979556248.39
BTC|SWAP|15m|2025-07-04_04:30:00|-9380639.28|-15124991.39|-68167086.04|883384783.45
BTC|SWAP|15m|2025-07-04_04:45:00|-31951955.43|-81630478.67|-182499300.56|812169324.5
BTC|SWAP|15m|2025-07-04_05:00:00|25209782.77|-158654692.03|-223082844.71|785547314.08
BTC|SWAP|15m|2025-07-04_05:15:00|-5842640.0|-62901514.37|-115696444.59|635240945.53
